Id:,00_1750099231,User:,Paul
HV Index,Voltage,Error,""
236,1.838,0.01838
237,1.846,0.01846
238,1.8535,0.018535
239,1.8614,0.018614
240,1.8691,0.018691
241,1.8781,0.018781
242,1.8845,0.018845
243,1.8925,0.018925
244,1.9001,0.019001
245,1.9077,0.019077
246,1.9155,0.019155
247,1.9244,0.019244
248,1.9308,0.019308
249,1.9388,0.019388
250,1.947,0.01947
251,1.954,0.01954
252,1.9611,0.019611
253,1.9696,0.019696
254,1.9775,0.019775
255,1.985,0.01985
